Projection_ID,Category,Metric,Current_Value,Projected_Value,Target_Year,Geographic_Scope,Source_Name,Source_URL,Confidence,Notes
32,Market Size,Global Video Streaming Market,$364.7B (2026),$2.23T,2035,Global,Yahoo Finance,https://sg.finance.yahoo.com/news/global-video-streaming-market-reach-160300466.html,Medium,Robust CAGR projected through 2035.
33,Market Size,AI in Media & Entertainment,$25.98B (2024),$99.48B,2030,Global,Grand View Research,https://www.grandviewresearch.com/industry-analysis/artificial-intelligence-ai-media-entertainment-market-report,High,Significant growth in AI-driven content and personalization.
34,Business Model,AI-Driven Cost Reduction,0%,10-30%,2030,Global,Morgan Stanley,https://www.morganstanley.com/insights/articles/ai-in-media-entertainment-benefits-and-risks,Medium,GenAI to drive significant production efficiencies.
35,Market Size,Sports Media Rights Revenue,$22B (2015),$96.3B,2035,Global,TM Broadcast,https://tmbroadcast.com/top-sports-leagues-grow-media-rights/,High,Top 17 leagues projected to see massive rights growth.
36,Technology,AI-Addressable Content Spend,$0,$10B,2030,US,McKinsey,https://www.mckinsey.com/industries/technology-media-and-telecommunications/our-insights/what-ai-could-mean-for-film-and-tv-production-and-the-industrys-future,Medium,AI to impact a significant portion of original content spend.
37,Market Size,Streaming Devices Market,$17.59B (2025),$61.31B,2035,Global,Research Nester,https://www.researchnester.com/reports/streaming-devices-market/6780,Medium,13.3% CAGR for hardware.

23,Market Size,OTT Video Revenue,$169B (2024),$230B,2029,Global,PwC,https://www.pwc.com/gx/en/issues/business-model-reinvention/outlook/insights-and-perspectives.html,High,Rapid growth projected.
24,Business Model,AVOD Revenue Share,20% (2020),27.1%,2029,Global,PwC,https://www.pwc.com/gx/en/issues/business-model-reinvention/outlook/insights-and-perspectives.html,High,Shift toward ad-supported models.
25,Market Share,OTT vs. Pay TV Revenue,OTT < Pay TV,OTT > Pay TV,2027,Global,PwC,https://www.pwc.com/gx/en/issues/business-model-reinvention/outlook/insights-and-perspectives.html,High,First time OTT revenue exceeds traditional pay TV.
26,Business Model,CTV Ad Revenue Share of Broadcast,5.9% (2020),44.7%,2029,Global,PwC,https://www.pwc.com/gx/en/issues/business-model-reinvention/outlook/insights-and-perspectives.html,High,Surge in connected TV advertising.
27,Market Size,US TV/Video Subscriptions,719M (2025),765M,2030,US,Parks Associates,https://www.parksassociates.com/blogs/in-the-news/forecast-us-subscription-tv-revenue-at-1907bn-in-2030,High,Steady but moderate growth.
28,Market Size,US Subscription TV/Video Revenue,$186.5B (2025),$190.7B,2030,US,Parks Associates,https://www.parksassociates.com/blogs/in-the-news/forecast-us-subscription-tv-revenue-at-1907bn-in-2030,High,Market maturity leading to value optimization.
29,Market Size,OTT Content Market,$3.2B (2025),$14.6B,2035,Global,Future Market Insights,https://www.futuremarketinsights.com/reports/over-the-top-ott-content-market,Medium,16.4% CAGR projected.
30,Market Size,Global OTT Market,$383.52B (2026),$626.69B,2031,Global,Mordor Intelligence,https://www.mordorintelligence.com/industry-reports/over-the-top-market,Medium,10.32% CAGR projected.
31,Infrastructure,CTV vs. Mobile Viewing,Mobile > CTV,CTV > Mobile,2030,Global,Mordor Intelligence,https://www.mordorintelligence.com/industry-reports/over-the-top-market,Medium,CTV combinations on track to overtake mobile.

15,Technology,AV2 Finalization,Draft,Finalized/Released,2026,Global,Streaming Media Magazine,https://www.streamingmedia.com/Articles/News/Online-Video-News/AV2-Arriving-What-We-Know-and-What-We-Dont-Know-171548.aspx,High,AOMedia set for release end of 2025/early 2026.
16,Consumer Behavior,Gen Z Subscription Fatigue,Low,37% Canceled / 29% Plan to Cancel,2026,US,CivicScience,https://civicscience.com/6-key-consumer-declared-streaming-insights-from-gen-z-in-2026/,High,66% total impacted by fatigue.
17,Consumer Behavior,Gen Z Multi-Subscription,Low,56% have 3+ subscriptions,2026,US,CivicScience,https://civicscience.com/6-key-consumer-declared-streaming-insights-from-gen-z-in-2026/,High,High churn but high initial adoption.
18,Consumer Behavior,Gen Z Social Video Usage,High,61% watch clips weekly on social,2026,US,CivicScience,https://civicscience.com/6-key-consumer-declared-streaming-insights-from-gen-z-in-2026/,High,Disruption potential for full-length content.
19,Business Model,Ad-Supported Tier Usage (Gen Z),Low,52% usage,2026,US,CivicScience,https://civicscience.com/6-key-consumer-declared-streaming-insights-from-gen-z-in-2026/,High,High-value audience for advertisers.
20,Business Model,Cost Control Priority,Medium,38% cite as #1 concern,2026,Global,Bitmovin Video Developer Report,https://bitmovin.com/press-room/bitmovin-com-video-developer-report-2025/,High,Single largest concern for video teams.
21,Technology,AV1 Adoption (VOD),8% (2024),Incremental Growth,2026,Global,Bitmovin/Streaming Media,https://www.streamingmedia.com/Articles/Editorial/Featured-Articles/The-State-of-the-Video-Codec-Market-2025-168628.aspx,Medium,Implementation continues to lag despite optimism.
22,Business Model,AVOD/FAST Adoption,Low,70% of platforms using AVOD,2026,Global,Bitmovin/LinkedIn,https://www.linkedin.com/posts/manuelbergerot_8th-video-developer-report-activity-7296115714900332545-IeMH,High,FAST adoption rising year over year.

1,Technology,AI Agent Adoption,Emerging,Standard in business environments,2026,Global,IEEE Computer Society,https://www.prnewswire.com/news-releases/ieee-reveals-2026-predictions-for-top-technology-trends-302674326.html,High,AI agents to eliminate repetitive work.
2,Infrastructure,Power Grid Autonomy,Manual/Predictive,AI-driven and autonomous,2026,Global,IEEE Computer Society,https://www.prnewswire.com/news-releases/ieee-reveals-2026-predictions-for-top-technology-trends-302674326.html,Medium,AI demand forcing innovation in energy management.
3,Infrastructure,Satellite Connectivity,Limited,Direct-to-cell/device standard,2026,Global,IEEE Computer Society,https://www.prnewswire.com/news-releases/ieee-reveals-2026-predictions-for-top-technology-trends-302674326.html,High,Increased reliability for cell/Bluetooth.
4,Market Share,Streaming Share of TV Usage,44.8% (May 2025),Majority (Permanent),2026,US,Nielsen The Gauge,https://www.nielsen.com/news-center/2025/streaming-reaches-historic-tv-milestone-eclipses-combined-broadcast-and-cable-viewing-for-first-time/,High,Streaming eclipsed combined broadcast/cable for the first time in May 2025.
5,Market Share,YouTube TV Share,12.5% (May 2025),Growth Trend,2026,US,Nielsen The Gauge,https://www.nielsen.com/news-center/2025/streaming-reaches-historic-tv-milestone-eclipses-combined-broadcast-and-cable-viewing-for-first-time/,High,Highest share for any single streamer to date.
6,Market Share,FAST Service Share (Pluto/Roku/Tubi),5.7% (May 2025),Growth Trend,2026,US,Nielsen The Gauge,https://www.nielsen.com/news-center/2025/streaming-reaches-historic-tv-milestone-eclipses-combined-broadcast-and-cable-viewing-for-first-time/,High,Larger than any individual broadcast network.
7,Technology,AV2 Codec Adoption,Draft/Reference,Public Review/Early Adoption,2026,Global,Alliance for Open Media,https://aomedia.org/blog%20posts/AOMedia-Reflections-on-2025-and-the-Work-Ahead/,High,Draft spec available for review as of early 2026.
8,Technology,AV1 Traffic Share (Netflix),30%,Growth Trend,2026,Global,Alliance for Open Media,https://aomedia.org/blog%20posts/AOMedia-Reflections-on-2025-and-the-Work-Ahead/,High,AV1 moving from emerging to ubiquitous.
9,Technology,AV1 Traffic Share (Meta),70%,Growth Trend,2026,Global,Alliance for Open Media,https://aomedia.org/blog%20posts/AOMedia-Reflections-on-2025-and-the-Work-Ahead/,High,Meta users consuming AV1 across platforms.
10,Consumer Behavior,Daily Entertainment Time,6 hours,Stagnant,2026,US,Deloitte Digital Media Trends,https://www.deloitte.com/us/en/insights/industry/technology/digital-media-trends-consumption-habits-survey/2025.html,High,Competition for a fixed amount of time.
11,Market Share,Pay TV Subscription Rate,49% (2025),Decline Trend,2026,US,Deloitte Digital Media Trends,https://www.deloitte.com/us/en/insights/industry/technology/digital-media-trends-consumption-habits-survey/2025.html,High,Down from 63% in 2022.
12,Consumer Behavior,Gen Z/Millennial Cord-Cutting,High,23% (Gen Z) / 18% (Millennial) termination intent,2026,US,Deloitte Digital Media Trends,https://www.deloitte.com/us/en/insights/industry/technology/digital-media-trends-consumption-habits-survey/2025.html,Medium,Intent to terminate in next 12 months.
13,Market Size,Podcast/Vodcast Ad Revenue,$4.2B (2025),$5B,2026,Global,Deloitte TMT Predictions,https://www.deloitte.com/us/en/insights/industry/technology/technology-media-and-telecom-predictions.html,High,Nearly 20% YoY growth.
14,Infrastructure,App Innovation (AI Readiness),Low,Technical Glass Ceiling,2026,Global,Cloudflare App Innovation Report,https://www.cloudflare.com/press/press-releases/2026/new-cloudflare-report-warns-of-a-technical-glass-ceiling-stifling-ai-growth/,Medium,Infrastructure as gatekeeper for AI success.
